title,company,location,date_posted,job_link,description,seniority_level,employment_type,job_function,industries,applicants,company_url,time_posted,company_size,founded,type,industry,headquarters
Summer Sales Internship,BASF,"Sherwood Park, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/summer-sales-internship-at-basf-4015554634?position=18&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=Adzyje0%2BWBeTXBVLNa6z9w%3D%3D,,,,,,,,,,,,,
Accounting Student,PCL Construction,"Nisku, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/accounting-student-at-pcl-construction-4017075343?position=19&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=111wMZ4SugpD%2BY8fmfItOg%3D%3D,,,,,,,,,,,,,
Engineering Coop Intern,Flowserve Corporation,"Leduc, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/engineering-coop-intern-at-flowserve-corporation-4014246311?position=20&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=fnZGMiuOztMlhJXe3O13zg%3D%3D,,,,,,,,,,,,,
Shell Assessed Internship Programme (January/May 2025) / Programme de stages évalués de Shell (janvier / mai 2025) - Canada,Oil and Gas Job Search Ltd,"Fort Saskatchewan, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/shell-assessed-internship-programme-january-may-2025-programme-de-stages-%C3%A9valu%C3%A9s-de-shell-janvier-mai-2025-canada-at-oil-and-gas-job-search-ltd-4017356598?position=21&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=leBtjeNe2lvHNXpga9td1Q%3D%3D,,,,,,,,,,,,,
Estimating Student,PCL Construction,"Nisku, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/estimating-student-at-pcl-construction-4015518239?position=22&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=iqj0gpEnl4%2BNiM1VIeCBBQ%3D%3D,,,,,,,,,,,,,
Agronomic Excellence Summer Associate - Internship,BASF,"Ardrossan, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/agronomic-excellence-summer-associate-internship-at-basf-4010173970?position=23&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=E3SIGJ7OU27L39tg6e7Zjg%3D%3D,,,,,,,,,,,,,
Outside Sales Internship - Summer 2025,Uline,"St Albert, Alberta, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/outside-sales-internship-summer-2025-at-uline-4017869843?position=24&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=tDNhUAsuURLZJnk%2Bp3%2Fh%2BA%3D%3D,,,,,,,,,,,,,
Field Compliance Summer Associate - Internship,BASF,"Sherwood Park, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/field-compliance-summer-associate-internship-at-basf-4010173969?position=25&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=6DlFppvs1uDurxmm6T7pVQ%3D%3D,,,,,,,,,,,,,
Canola Breeding Summer Associate - Internship,BASF,"Ardrossan, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/canola-breeding-summer-associate-internship-at-basf-4012074918?position=26&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=RpkTbj7rX19UaoAvlTjk6w%3D%3D,,,,,,,,,,,,,
Outside Sales Internship - Summer 2025,Uline,"St Albert, Alberta, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/outside-sales-internship-summer-2025-at-uline-4017873503?position=27&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=VpUyq64x45G9M4vax0TGzQ%3D%3D,,,,,,,,,,,,,
