title,company,location,date_posted,link,seniority_level,employment_type,job_function,industries,applicants,job_description,experiencerequirements,skills,educationrequirements,industry,company_url,company_size,founded,type,specialties,headquarters
Junior Software Engineer (Remote),PolicyMe,Greater Montreal Metropolitan Area,2 weeks ago,https://ca.linkedin.com/jobs/view/junior-software-engineer-remote-at-policyme-4017929173?position=1&pageNum=0&refId=tJZhR57AoWJlr99Wmt4%2FTg%3D%3D&trackingId=H%2B%2BdicouxvYW6BLv%2FVZ8Xg%3D%3D&trk=public_jobs_jserp-result_search-card,Not Applicable,Full-time,Engineering and Information Technology,Insurance,Over 200 applicants,"          Overview of the role: Join us at PolicyMe! We're modernizing insurance and we'd like your help. The Canadian insurance landscape has remained largely unchanged for decades and we are in the process of changing that. We're a remote-first, Toronto-based startup with big ambitions. As a Junior Software Engineer(Fullstack) you will be working on building, architecting and scaling PolicyMe’s platform to accommodate a wide variety of different experiences for our users. You will be responsible for building key features and systems to help continue to propel PolicyMe’s growth into one of the biggest insurance brands in Canada. Our stack: React, Redux, Python, Webpack, Gatsby, Node.js, PostgreSQL, AWS What you'll be doing:Build new and exciting product features in our React-based web applicationContribute to our custom UI component library using shared npm packagesEnhance our backend APIsContribute to group technical design discussionsWhat we are looking for:BS degree in Computer Science or equivalent practical experienceExperience with web development (HTML5/CSS3/ESNext/React/NodeJs)Experience working in UNIX/Linux environmentsUnderstanding of computer science fundamentalsAbility to prioritize and work independently in a fast-paced startup environmentExcellent communication, organizational, problem-solving, debugging and analytical skillsWhy join us:Generous PTO - 20 vacation daysAccess to stock options, and health benefitsA remote-first team with company paid, in-person socials and the option to work from our Toronto-based officeResources to help your professional development, including an L&D budget, performance reviews twice a year and ongoing feedback to ensure you reach your highest potentialWork with an empathetic, high-performing team in a flexible, results-oriented environmentReports To: Engineering ManagerAbout PolicyMe: PolicyMe is a Venture-Backed InsurTech startup on a mission to put families first, protecting them with the honest and uncomplicated life insurance they deserve. Through technology, PolicyMe is streamlining the traditional insurance process, removing barriers and inefficiencies to deliver a fully-underwritten life insurance policy that families deserve but with fewer steps and lower costs. PolicyMe makes it easy to get a quote and apply for term life insurance online in 20 minutes or less. Since our launch in 2018, we have grown exponentially, selling over $1 billion in life insurance coverage to Canadians. PolicyMe was also most recently voted as one of Canada's 50 Most Impactful Companies of 2021, and has been mentioned in BetaKit, National Post, the Global & Mail, Global News and more. If you're interested in being considered for this opportunity, please submit a resume. Commitment to Equal Opportunity: PolicyMe is proud to be an equal opportunity employer. All applicants will be considered for employment without attention to race, colour, religion, sex, sexual orientation, gender identity, national origin, or disability status. We thank all applicants for their interest, however, only those selected for an interview will be contacted. Accessibility Statement: PolicyMe is dedicated to ensuring an accessible experience for all candidates. If you require accommodations during the application process, please let us know in the ""Additional Information"" section of the job application. We are committed to working with you to provide support and make reasonable adjustments throughout the process.        ",,,bachelor degree,Insurance,https://ca.linkedin.com/company/policymehq?trk=public_jobs_topcard-org-name,51-200 employees,2018.0,Privately Held,life insurance advice and education,"Toronto, Ontario"
Graduate Python Engineer – up to $140k + Bonus – Montreal (Hybrid),Hunter Bond,"Montreal, Quebec, Canada",4 days ago,https://ca.linkedin.com/jobs/view/graduate-python-engineer-%E2%80%93-up-to-%24140k-%2B-bonus-%E2%80%93-montreal-hybrid-at-hunter-bond-4027783319?position=2&pageNum=0&refId=tJZhR57AoWJlr99Wmt4%2FTg%3D%3D&trackingId=KA7m6Nm9Eavi7OITukmnMQ%3D%3D&trk=public_jobs_jserp-result_search-card,Associate,Full-time,Engineering and Information Technology,Financial Services and IT Services and IT Consulting,175 applicants,"🚀 Launch Your Fintech Career: Python Developers Needed in Montreal 🚀Hybrid working in state of the art office Up to $140k base + Industry leading bonusesAre you a Python developer with 1-4 years of experience and a passion for technology? Join a top fintech company in Montreal that’s searching for motivated, talented individuals ready to elevate their careers. If you’re eager to enhance your skills and make a real impact in financial tech, this is the perfect opportunity for you! 💼 What You’ll Do: - Build innovative financial applications using your Python expertise. - Work with distributed systems and databases, gaining hands-on experience. - Collaborate with diverse teams to solve complex challenges and deliver impactful solutions. 🎓 What You Bring: - Bachelor’s degree in Computer Science or a related field. - 1-4 years of Python development experience. - Solid foundation in object-oriented programming, data structures, and algorithms. - Familiarity with frameworks like Django or FastAPI is a plus, but not mandatory. - Eagerness to dive into distributed systems and database technologies. 🌟 Your Key Traits: - Strong problem-solving skills and an analytical approach. - Dedication to writing clean, maintainable code. - Excellent communication and teamwork skills. - Adaptability to succeed in a fast-paced environment. - A passion for continuous learning and professional development. 🏆 What’s in It for You: - Join a team at the forefront of fintech innovation. - Enjoy a hybrid work model with flexibility between office and remote work. - Competitive salary and comprehensive benefits. - Opportunities for career growth and professional development. Ready to take your career to the next level and shape the future of fintech? Apply now and be part of the revolution in financial technology!",12.0,,bachelor degree,Staffing and Recruiting,https://uk.linkedin.com/company/hunter-bond?trk=public_jobs_topcard-org-name,11-50 employees,2014.0,Privately Held,"Big Data, Change and Transformation, Cloud Computing, Consultancy, Finance Technology, IT, Recruitment, Risk, Technology, finance, Python, Data Science, Java, DevOps, Change, Graduates, Javascript, Software, Developer, Business, Contractor, Permanent, London, New York, United Kingdom, USA, and Infrastructure","London, England"
Candidature spontanée,Autorité des marchés financiers (Québec),"Montreal, Quebec, Canada",1 week ago,https://ca.linkedin.com/jobs/view/candidature-spontan%C3%A9e-at-autorit%C3%A9-des-march%C3%A9s-financiers-qu%C3%A9bec-3779088262?position=3&pageNum=0&refId=tJZhR57AoWJlr99Wmt4%2FTg%3D%3D&trackingId=tlN2D8%2BRROX3NaowSg97hQ%3D%3D&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Other,Government Administration,Over 200 applicants,"          L’Autorité des marchés financiers, en tant que régulateur intégré, joue un rôle d’une grande importance au sein du marché financier québécois. C’est pour cette raison que nous sommes constamment à l’affût des meilleurs talents.Se joindre à l’Autorité, c’est mettre ses compétences au service d’une mission engageante et relever de multiples défis en bénéficiant d’une expérience stimulante axée sur la collaboration et les occasions de développement professionnel!Déposez votre CV dès maintenant et participez à notre mission en menant une carrière unique marquée par des mandats diversifiés!Au plaisir,Veuillez prendre note que les personnes dont la candidature sera retenue devront se soumettre obligatoirement à une enquête de bonnes mœurs et d’antécédents judiciaires en lien avec l’emploi.Nous souscrivons à un programme d’accès à l’égalité d’emploi et nous encourageons toutes les personnes qualifiées à soumettre leur candidature, en particulier les femmes, les membres de minorités visibles et ethniques, les Autochtones et les personnes        ",,,,Government Administration,https://ca.linkedin.com/company/autorit-des-march-s-financiers?trk=public_jobs_topcard-org-name,"501-1,000 employees",2004.0,Government Agency,"Application des lois, Encadrement du secteur financier, Assurances, valeurs mobilières, Distribution de produits et services financiers, Courtage hypothécaire, Protection de dépôts, Instruments dérivés, Évaluation du crédit, Solvabilité, Protection des investisseurs, and Éducation financière","Québec, Québec"
"Software Engineer Intern, Backend - Montreal (Summer 2025)",Lyft,"Montreal, Quebec, Canada",1 week ago,https://ca.linkedin.com/jobs/view/software-engineer-intern-backend-montreal-summer-2025-at-lyft-4025909718?position=4&pageNum=0&refId=tJZhR57AoWJlr99Wmt4%2FTg%3D%3D&trackingId=hKBCFXi6YIo0kAqrGc5w4w%3D%3D&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Internship,Engineering and Information Technology,Ground Passenger Transportation,Over 200 applicants,"Software Engineer Intern (Backend)At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.We care deeply about delivering the best transportation experience; this means the best experience for the passenger and the best experience for the driver. We believe this quality of service can only be achieved with a deep understanding of our world, our cities, our streets… how they evolve, how they breathe.Interns work side-by-side with top engineers in the industry while having autonomy from the get-go. They contribute to user-facing products and are able to see their work go live quickly. Lyft fosters a collaborative environment in the office, so there's always a sharp mind eager to hear about your next idea. So what's yours?Responsibilities:Own your project, while checking in with other team members throughout the day with questions and updatesYou leave the code in a better state than when you found it (progressive refactor)You value reliability, ensured by testing (unit, integration and load tests)Participate in code reviews to ensure code quality and distribute knowledgeIntegrating and deploying according to the CI/CD practiceGo home knowing that your work today is meaningfully improving the lives of every Lyft driver and every Lyft rider!Experience:Currently pursuing a Bachelor's or Master's degree in Computer Science from a university in Canada, with a graduation date between December 2025 and Summer 2026 (required)Available during Summer 2025 for the internship in MontrealStrong knowledge of CS fundamentalsExcellent communication skillsPassion for community, sustainability, and/or transportationAbility to thrive in a startup environmentExperience with real-time technology problemsContributions to open source projectsExperience working with databasesExperience solving real-time technology problemsMust be fluent in spoken and written English and have a working proficiency in FrenchBenefits:Mental health benefitsIn addition to holidays, interns receive 2 days paid time off and 3 days sick time offLyft proudly pursues and hires a diverse workforce. Lyft believes that every person has a right to equal employment opportunities without discrimination because of race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity, gender expression, age, marital status, family status, disability, pardoned record of offences, or any other basis protected by applicable law or by Company policy. Lyft also strives for a healthy and safe workplace and strictly prohibits harassment of any kind. Accommodation for persons with disabilities will be provided upon request in accordance with applicable law during the application and hiring process. Please contact your recruiter now if you wish to make such a request.This role will be in-office on a hybrid schedule — Team Members will be expected to work in the office 3 days per week on Mondays, Thursdays and a team-specific third day.",,,bachelor degree,Ground Passenger Transportation,https://www.linkedin.com/company/lyft?trk=public_jobs_topcard-org-name,"5,001-10,000 employees",2012.0,Public Company,"Ridesharing, Carpooling, Transportation, Community, rideshare, drivers, and gigeconomy","San Francisco, CA"
Software Engineer,BoxOne Ventures,"Montreal, Quebec, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/software-engineer-at-boxone-ventures-4011009390?position=5&pageNum=0&refId=tJZhR57AoWJlr99Wmt4%2FTg%3D%3D&trackingId=gX853%2BzFqPCgNdjQjJ81xw%3D%3D&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,Venture Capital and Private Equity Principals,152 applicants,"Job DescriptionThe Software Engineer will build software tools designed to enhance decision-making processes within venture capital, venture incubation, and private asset management. The role encompasses the entire spectrum of decision-making support, including sourcing and evaluating investments, monitoring progress, and automating workflows.The Software Engineer should be comfortable experimenting with cutting edge technology and new approaches to automation, decision-making processes, and LLMs (agent architecture, etc.).Our vision for the Software Engineer is to build and manage a team of autonomous agents that assist with the workflow and decision-making processes of the investment team. This involves creating innovative solutions that not only enhance current operations but also set new standards in efficiency and effectiveness within the venture capital space.The Software Engineer will work independently with little supervision, demonstrating initiative and self-motivation. The ideal candidate is energetic, versatile, well-organized, and flexible, experienced in multitasking in a professional environment, and enjoys the challenges of supporting an office of diverse teams.ResponsibilitiesSoftware Development:Design, develop, and maintain custom software solutions to support investment management, venture capital investing, and venture incubation processes.Drive innovation by researching and integrating the latest technologies, ensuring the team stays at the forefront of artificial intelligence and augmented decision making. Proactively identify and implement new tools and methodologies that can enhance workflows from origination to due diligence to monitoring.Collaborate with internal teams to understand their needs and translate these into effective technical solutions.Workflow Optimization:Identify opportunities for workflow improvements and implement software solutions to enhance efficiency and productivity.Automate repetitive tasks and processes where applicable.Data Analysis and Reporting:Develop tools for data analysis and reporting to aid in decision-making processes.Implement systems for tracking and evaluating investment performance and market trends.Technical Continuous Improvement:Recommend and implement new software tools for team members.Develop and deliver training on new software tools and systems to ensure smooth adoption.Technical Continuous Improvement:Implement systems for tracking and evaluating investment performance and market trends.Develop tools for data analysis and reporting to aid in decision-making processes.RequirementsEducational Background: A Bachelor's or Technical degree in Information Technology, Computer Science, or a related field.Relevant Experience: Proven experience in software development, with a portfolio of completed projects.Technical Skills:Strong proficiency in programming languages and frameworks relevant to the role.Experience with data analysis and visualization tools.Familiarity with investment and financial concepts is a plus.Independent Work Ethic: Capacity to work independently with minimal supervision, demonstrating initiative and self-motivation.Communication Skills: Excellent verbal and written communication abilities to effectively liaise with team members.Problem-Solving Abilities: Strong analytical and problem-solving skills to troubleshoot issues quickly and efficiently.Attention to Detail: Meticulous attention to detail, especially with regards to data integrity, existence, and completeness.Time Management Skills: Excellent time management skills to meet deadlines and manage priorities effectively.About BoxOne VenturesBoxOne Ventures is an early-stage investment firm. We invest our own capital in entrepreneurs we believe in. This gives us patience and flexibility from napkin to IPO.Members of the team include operators in life sciences, process engineering, data informatics, and financial management.Entrepreneurs and other investors collaborate in person at BoxOne's award-winning office located in the historic RCA Building in the St-Henri neighborhood of Montreal.",,,bachelor degree,Venture Capital and Private Equity Principals,https://ca.linkedin.com/company/boxoneventures?trk=public_jobs_topcard-org-name,2-10 employees,2010.0,Privately Held,,"Montreal, Quebec"
Front-end Developer,Evolving Web,"Montreal, Quebec, Canada",2 days ago,https://ca.linkedin.com/jobs/view/front-end-developer-at-evolving-web-4030189494?position=6&pageNum=0&refId=tJZhR57AoWJlr99Wmt4%2FTg%3D%3D&trackingId=O0Taxdk%2B0dB2dDMLH7TBNQ%3D%3D&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",88 applicants,"Do you have a passion for problem-solving and enjoy working with a dynamic and creative team? Do you love learning and collaborating with a developer community and want to join a growing team of technologists specializing in Drupal? This position requires 5+ years of front-end experience and is ideal for developers with high attention to detail looking to expand their expertise.We encourage you to apply if you're planning on immigrating to Canada. We actively sponsor visa applications for qualified candidates and help them relocate to Montreal.In your role as a Front-end Developer, you will be expected to{{:}}  Work with a team of web developers, designers, and project managers Use frameworks like React, Vue.js, or Angular to create decoupled front-end interfaces Develop custom Drupal and WordPress themes Advise on front-end best practices for innovative and interactive features Implement front-end libraries and frameworks Contribute to and participate in the technical community Create documentation and blog posts Make suggestions to improve design consistency and user experience What kind of skill set do you need to be successful in your role within the Evolving Web community{{:}} 5 years of front-end experience working with a CMS or web development platform Experience using SASS, JavaScript and jQuery Demonstrated experience using Javascript frameworks or libraries like React, Vue.js, Angular or Bootstrap Experience working with a team using a standardized development workflow Strong sense of UX and web usability best practices Understanding of software development practices Familiarity with git Experience working with APIs Experience using a project management tool like Redmine or JIRA Strong communication skills in English Bonus for{{:}}  Experience with Drupal theming Experience using Gatsby, Node.js, Vue.js, Angular, React Native, etc Familiarity with the Linux command line Strong communication skills in French What kind of person usually gets along easily with us?  Collaborative and open to feedback Love sharing what you know Organized and able to work on several projects concurrently Creative, curious, and proactive at problem-solving Not afraid of learning new tools and taking on new responsibilities Remote applications are welcome but the applicant must be{{:}} Available during Montreal working hours Use tools such as Slack to stay engaged with your team and contribute to the company culture Have exceptional self-management and proactive communication skills What We Offer{{:}}  Impact{{:}} Work on projects for prestigious organizations that impact the lives of tens of thousands of users every day  Challenge{{:}} Opportunity to take ownership of projects with a high level of creative and technical complexity  Learning & Growth{{:}} A collaborative environment that encourages continuous learning and mentorship  Culture{{:}} A company with a multi-disciplinary team of designers, developers, and strategists spread across many countries  Flexible hybrid{{:}} For candidates based in Montreal and its suburbs, this role follows a hybrid work schedule, with three days in the office and two days working remotely each week. For those residing outside of Montreal and its surrounding areas, this position is fully remote",60.0,,bachelor degree,IT Services and IT Consulting,https://ca.linkedin.com/company/evolving-web?trk=public_jobs_topcard-org-name,51-200 employees,2007.0,Privately Held,"Web Development, Drupal Consulting, Drupal Development, Solr Search, Content Management, Open Source Software, Drupal Architecture, Web Design, Multilingual Website Development, and Drupal Training","Montreal, Quebec"
Backend Software Developer,Stingray,"Montreal, Quebec, Canada",1 week ago,https://ca.linkedin.com/jobs/view/backend-software-developer-at-stingray-4020337235?position=7&pageNum=0&refId=tJZhR57AoWJlr99Wmt4%2FTg%3D%3D&trackingId=RiZ70IwEZOUCe7aZ6TapGQ%3D%3D&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Media",148 applicants,"          At Stingray, creativity, collaboration and innovative technology are the pillars of our DNA. Are you ready to rock your career by joining a growing company, a team of music enthusiasts in a stimulating and fun work environment?Our development team is currently looking for a backend developer to work on a wide variety of multimedia projects on cutting edge platforms and technologies. The perfect opportunity to be part of the development of interactive multimedia systems each with their own unique tech stack. You’ll be the backbone of our operations, ensuring that our systems are robust, scalable, and harmonious. Your work will touch everything from user management systems to global music streaming services, making sure our partners and users get the best possible experience.If you are curious, smart and want to be part of the creation of exceptional products, we want to hear from you!Your day-to-day  Develop and maintain ecosystems that provide music content to partners across the globe.  Collaborate with your team daily to analyze and design solutions for existing problems.  Work closely with cross-functional teams, including product managers, architects, and other engineers, to develop and implement solutions.  Participate in code reviews, write unit tests, and ensure the quality and maintainability of the codebase.  Create and maintain comprehensive documentation for system architecture, processes, and procedures. Your Qualifications Bachelor’s degree in software engineering or computer science (or equivalent experience)  Good knowledge of at least 1 OOP language (Java, C#, C++, …)  Strong analytical and problem-solving skills  Initiative, collaboration, and ability to learn new technologies.  Ability to communicate in French and English Nice-to-haves Proficiency with cloud platforms, particularly AWS.  Strong understanding of both SQL and NoSQL databases, such as MySQL, DynamoDB, and MongoDB.  Familiarity with caching technologies like Memcache and Redis.  Hands-on experience with Java frameworks, especially Spring Boot.  Knowledge of continuous integration and deployment (CI/CD) practices.  Experience with containerization tools, specifically Docker.  Competence in using configuration management tools like Ansible.  Understanding of microservices architecture and development.  Ability to work with scripting languages, including Python, JavaScript, and Groovy.  Familiarity with Linux environments. Life at Stingray A cool office in Montreal   Stingray café with breakfasts and snacks offered every day    Flexibility to work from home for a maximum of 2 days per week, depending on needs  Share purchase plan (with a contribution from Stingray)    Access to virtual healthcare     Free fitness classes offered weekly     Access to private nutrition & wellness advising    Free language classes    Discounted lunches from local restaurants     Summer hours     Milestones celebrated with our loyalty program     5@7 and vibrant social events    And much more!  Montreal-based Stingray Group is a leading music, media and technology company with over 1,200 employees worldwide. Our offices are located in the Old Port of Montreal just minutes from the Lachine Canal bike path, a prime location for picnics or a jog at lunch time.Stingray supports the principles of Employment Equity and is committed to ensuring our workforce is representative of the communities we serve and in which we operate. Women, Aboriginal peoples, persons with disabilities and visible minorities are encouraged to apply and to self-identify so we can work towards full representation of those groups within our company.Not the job for you? Go to jobs.stingray.com to consult other available positions and learn more about Stingray, we’re always on the lookout for new talent.Share this opportunity",,,bachelor degree,"Technology, Information and Media",https://ca.linkedin.com/company/stingray?trk=public_jobs_topcard-org-name,"1,001-5,000 employees",2007.0,Public Company,"Music, Broadcasting, Internet, Mobile, Streaming, Entertainment, TV, Videos, Karaoke, Concert, 4K, Music Videos, On Demand, Video On Demand, Radio, OTT, TV Apps, API, HLS, Mobile Apps, Music Content, Music programming, Content delivery, Music lisensing, Content lisensing, Background Music, UHD, SVOD, TVOD, In-Flight Entertainment, On-Board Entertainment, Livestreaming, Digital Signage, FAST, Curation, Media Solutions, Advertising, and Sponsorship","Montreal, QC"
Backend Software Engineer,Yassir,"Montreal, Quebec, Canada",1 month ago,https://ca.linkedin.com/jobs/view/backend-software-engineer-at-yassir-4002462250?position=8&pageNum=0&refId=tJZhR57AoWJlr99Wmt4%2FTg%3D%3D&trackingId=8nOynzHWFzb0hXGgUXHdNQ%3D%3D&trk=public_jobs_jserp-result_search-card,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting,104 applicants,"          Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (:$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world. We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. We’re not just about serving people - we’re about creating a marketplace to bring people what they need while infusing social values. ABOUT THE ROLE In this role, you will be part of our engineering team, working with a high-quality code base and the latest tools, where you will promote your skills to be an expert in complex backend development, including microservices architecture, using Node.js, Python or Go. You will own and build large scale backend systems and micro-services. You will design, develop, and deliver powerful server-side applications in a highly dynamic environment, where root cause analysis and rapid problem-solving are required. TASKSBuild robust and scalable software in Node.js, Python or GoDesign and create (micro)services and system architecture for projects, and contribute and provide feedback to other team membersHelp improve existing code quality through writing unit tests, automation and performing code reviewsParticipate in brainstorming sessions and contribute ideas to our technology, algorithms and productsWork with the engineering and design teams to understand end-user requirements, formulate use cases, and then translate that into a pragmatic and effective technical solutionDive into difficult problems and successfully deliver results on scheduleREQUIREMENTSTechnical Skills :A BS degree in computer or any equivalent experienceMS degree and above preferred Solid OOP and software design knowledge – you should know how to create software that is extensible, reusable and meets desired architectural objectivesMust have technical skills with at least 1 year experience Language: Node.js, Python or Go Data base: Mongodb or otherFramework: Express.js or other. Web architecture: Rest and restful APIs, micro-servicesMaster source version control: GITNice to have technical skills (Strongly advised for senior profiles)Containers: Docker, kubernetes Caching, Redis server Web load balancingScaling OS administrationEncryption : https//, digital signingOther key skills and traits :Outstanding written & verbal communication skillsOutstanding project management skillsDemonstrated ability to prioritize, self-start, contribute under pressure and meet tight deadlinesHighly organized, creative and critical thinkerComfortable working in an entrepreneurial environmentProcurement or legal background is a big plusExcellent judgment, communication and interpersonal skillsOrganized and obsessive about detailsHard working, passionate and looking to embrace the challengeThrive in high impact/high profile situationsEnthusiastic about Yassir!BENEFITSGreat compensation and bonuses including stock optionsGround floor opportunity with the team; shape the strategic direction of the companySharp, motivated co-workers in a fun office environment or in remote Paid company holidaysFull social coverageWHY YOU SHOULD JOIN YASSIRJoin one of the fastest-growing tech companies in North AfricaHave a lasting impact on our company's culture Make a real impact on the world by helping us bring affordable financial and on-demand services to millions of AfricansWork on some really hard technical challenges from identity infrastructure for Africans, digital payment networks to complex mapping and routing systems across the continentWe are the first Algerian startup to go through Y Combinator program and we’re backed by top investors including Unpopular Ventures, Rebel Fund and DainTree.VCAt Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen. Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck, Your Yassir TA Team        ",12.0,,bachelor degree,IT Services and IT Consulting,https://www.linkedin.com/company/yassir?trk=public_jobs_topcard-org-name,"501-1,000 employees",,Privately Held,,"Palo Alto, CA"
ReactJS Developer,Genpact,"Montreal, Quebec, Canada",1 week ago,https://ca.linkedin.com/jobs/view/reactjs-developer-at-genpact-4024145877?position=9&pageNum=0&refId=tJZhR57AoWJlr99Wmt4%2FTg%3D%3D&trackingId=je5ARyiQ3G0iR%2BBVehJwHA%3D%3D&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Information Technology and Consulting,Business Consulting and Services and IT Services and IT Consulting,Over 200 applicants,"GreetingsWith a startup spirit and 125,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently and are bold enough to reinvent it. Come, transform with us.Are you the One we are looking for?Inviting applications for the role ReactJS Developer in Montreal, QC Hybrid , day 1st onsite role .Preferred Qualification:We are looking for a strong Front-end developer to join the team.A successful candidate will have a solid understanding of GUI design visually and architecturally and experience with JS/HTML eco system.Experience in building large scale applications with JavaScript, CSS3, HTML4/5.Experience building applications with react framework.Solid understanding of core JavaScript, ES5 and ES2015+ specificationsSolid understanding of CSS pre-processor language such as LESS or SASSExperience with CSS frameworks such as Foundation, Bootstrap etc.Experience with at least one component library such as prime-ng, polymer, infragistics etc.Knowledge of OO programming within Typescript/Javascript as well as its quirksWeb Service and API design/integration (SOAP and RESTful), XML, JSONExperience with source control such as Git and/or Perforce-Self-motived to learn new things on their own as well as being capable of collaborating with local and global teams-Familiarity with User Interface design, browser performance and optimization.Strong analytical, verbal & written skills.Knowledge of node.js/ JavaKnowledge of Java programming",,,bachelor degree,Business Consulting and Services,https://www.linkedin.com/company/genpact?trk=public_jobs_topcard-org-name,"10,001+ employees",,Public Company,"Banking & Financial Services, Energy, Insurance, Healthcare Payer, Capital Market, Healthcare Provider, Aerospace, Hi-Tech, Automotive, Hospitality, Chemical, Life Science & Pharmaceuticals, Consumer Goods, Retail, Telecom, Transport & Logistics, digital transformation, business consulting, professional services, and artificial intelligence","New York, NY"
